Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-07,Away,D,4-3-3,Premier League,Leicester City,Jarred Gillett
2022-08-13,Home,W,5-3-2,Premier League,Manchester Utd,Stuart Attwell
2022-08-20,Away,L,4-3-3,Premier League,Fulham,Peter Bankes
2022-08-23,Away,W,4-2-3-1,EFL Cup,Colchester Utd,James Linington
2022-08-27,Home,D,4-3-3,Premier League,Everton,John Brooks
2022-08-30,Away,D,4-3-3,Premier League,Crystal Palace,Simon Hooper
2022-09-03,Home,W,4-3-3,Premier League,Leeds United,Robert Jones
2022-09-18,Home,L,3-5-2,Premier League,Arsenal,David Coote
2022-10-01,Away,D,4-3-3,Premier League,Bournemouth,Thomas Bramall
2022-10-08,Away,L,3-5-2,Premier League,Newcastle Utd,John Brooks
2022-10-14,Home,W,4-3-3,Premier League,Brighton,Michael Salisbury
2022-10-19,Home,D,3-5-2,Premier League,Chelsea,Jarred Gillett
2022-10-23,Away,L,3-5-2,Premier League,Aston Villa,Darren England
2022-10-29,Home,D,4-3-3,Premier League,Wolves,Robert Madley
2022-11-05,Away,D,4-3-3,Premier League,Nott'ham Forest,Andre Marriner
2022-11-08,Home,D,3-4-3,EFL Cup,Gillingham,Tim Robinson
2022-11-12,Away,W,3-5-2,Premier League,Manchester City,Peter Bankes
2022-12-26,Home,D,3-5-2,Premier League,Tottenham,David Coote
2022-12-30,Away,W,3-5-2,Premier League,West Ham,Darren England
2023-01-02,Home,W,3-5-2,Premier League,Liverpool,Stuart Attwell
2023-01-07,Home,L,3-5-2,FA Cup,West Ham,Andre Marriner
2023-01-14,Home,W,4-3-3,Premier League,Bournemouth,Jarred Gillett
2023-01-22,Away,D,3-5-2,Premier League,Leeds United,Peter Bankes
2023-02-04,Home,W,4-3-3,Premier League,Southampton,Darren Bond
2023-02-11,Away,D,3-5-2,Premier League,Arsenal,Peter Bankes
2023-02-18,Home,D,4-3-3,Premier League,Crystal Palace,Paul Tierney
2023-03-06,Home,W,4-3-3,Premier League,Fulham,Anthony Taylor
2023-03-11,Away,L,4-3-3,Premier League,Everton,Simon Hooper
2023-03-15,Away,W,4-3-3,Premier League,Southampton,Michael Salisbury
2023-03-18,Home,D,4-3-3,Premier League,Leicester City,Darren Bond
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-04-01,Away,D,5-3-2,Premier League,Brighton,Michael Oliver
2023-04-05,Away,L,5-3-2,Premier League,Manchester Utd,John Brooks
2023-04-08,Home,L,5-3-2,Premier League,Newcastle Utd,Chris Kavanagh
2023-04-15,Away,L,4-3-3,Premier League,Wolves,Paul Tierney
2023-04-22,Home,D,4-3-3,Premier League,Aston Villa,Michael Salisbury
2023-04-26,Away,W,5-3-2,Premier League,Chelsea,Andy Madley
2023-04-29,Home,W,4-3-3,Premier League,Nott'ham Forest,Peter Bankes
2023-05-06,Away,L,5-3-2,Premier League,Liverpool,Anthony Taylor
2023-05-14,Home,W,4-3-3,Premier League,West Ham,Michael Oliver
2023-05-20,Away,W,4-3-3,Premier League,Tottenham,Jarred Gillett
2023-05-28,Home,W,5-3-2,Premier League,Manchester City,John Brooks
